,id,title,synopsis,genres,tags,director,production_company
48,56,THE TEMPEST,"About a Kenyan Choreographer & Dancer - DAVILLAH_S, expressing how COVID-19 has Changed her family and personal Life, as well as that of Billions across the Globe.

Incorporating contemporary Dance, DAVILLAH reflects on her personal Challenges and Solutions for Coping with the Pandemic, while Encouraging those who View the Piece to stay Positive, Safe and to Follow all the COVID-19 Guidelines.","[""Chick Flick"",""JENGA JIRANI CHARITY FESTIVAL"",""Madaraka Day Weekend Movie Marathon Offer"",""Musical"",""Reality"",""Short & Sweet""]","Davillah, Buni Media",Russell Simmons,Funny Entertainment
49,57,"THE XYZ SHOW presents THE BEST OF UHUNYE, VOLUME 1","From Kenya’s hugely popular Political Satire - THE XYZ SHOW, comes a brilliant Collection of the most hilarious Scenes from Seasons 12 and 13 (2017 - 2019), involving Kenya’s one & only latex puppet President, maneuvering through different Scenarios.","[""30% OFF THIS WACKY WEEKEND!"",""Comedy"",""Madaraka Day Weekend Movie Marathon Offer"",""Political"",""Satire""]","Buni Media, The XYZ Show, Godfrey Mwampembwa, Patrick Kuria, King ""Mushking VFX"", Abdi Shuria, Brian Kyalo Msafiri, Isaiah Evans, Ian Kamau, Ahmed Deen, Luqman Mwinyi, Arnold Odhiambo, Kevin Mbasu, Edward Khaemba, Paul Mbuvi, Nick Odhiambo, Louisa Sialo, Bonnie Musambi, Peter Mukabi, Romward Ndar, Collins Koyo, Geoffrey Omondi, Jeff Nyatuga, Martin Githinji, Antony Mboyo, Axon Wafula, Angela Mwihaki, Makena Magana, Caroline Milka, Chris Kamau, Juliet Ekpara, Humphrey Ngoni, Loi Awat, Paul Mutuku, Hezbon Mugambi, Joseph Obel, Julian Macharia, Sodi Kurubo, Neema Bagamuhunda, Ross Franks, Edwin Machuka, Ted Tululah, Ayaz Rajput, Jethron Omusemi, Simon Mwai, Raymond Ndikwe, Iggy Oduor, Keith Kihiu, Zelly Kanyi, Acadius Akungwi, Lorraine Lantei, Patrick Muia, Dancun Kimani, Benjamin ""Benali"" Okoth, Steve ""I Cruzz"" Irina, Roselidah Taabu, Kevin Chepkech, Christabel Ododa, Claire Kariuki, Fidelis Kyalo, Tony Mboyo, Michael Mutai, Daniel Otieno, Elijah Njenga, Paul Mutuku, Victor Otieno, Jack Kibedi",David Lopez,Good Guys
50,58,"THE XYZ SHOW presents THE BEST OF ARUTODE, VOLUME 1","From Kenya’s hugely popular Political Satire - THE XYZ SHOW, comes a brilliant Collection of the most hilarious Scenes from Seasons 12 and 13 (2017 - 2019), involving Kenya’s one & only latex puppet Deputy President - the Head Hustler himself.","[""Comedy"",""Madaraka Day Weekend Movie Marathon Offer"",""Political"",""Satire""]","Buni Media, The XYZ Show, Godfrey Mwampembwa, Patrick Kuria, King ""Mushking VFX"", Abdi Shuria, Brian Kyalo Msafiri, Isaiah Evans, Ian Kamau, Ahmed Deen, Luqman Mwinyi, Arnold Odhiambo, Kevin Mbasu, Edward Khaemba, Paul Mbuvi, Nick Odhiambo, Louisa Sialo, Bonnie Musambi, Peter Mukabi, Romward Ndar, Collins Koyo, Geoffrey Omondi, Jeff Nyatuga, Martin Githinji, Antony Mboyo, Axon Wafula, Angela Mwihaki, Makena Magana, Caroline Milka, Chris Kamau, Juliet Ekpara, Humphrey Ngoni, Loi Awat, Paul Mutuku, Hezbon Mugambi, Joseph Obel, Julian Macharia, Sodi Kurubo, Neema Bagamuhunda, Ross Franks, Edwin Machuka, Ted Tululah, Ayaz Rajput, Jethron Omusemi, Simon Mwai, Raymond Ndikwe, Iggy Oduor, Keith Kihiu, Zelly Kanyi, Acadius Akungwi, Lorraine Lantei, Patrick Muia, Dancun Kimani, Benjamin ""Benali"" Okoth, Steve ""I Cruzz"" Irina, Roselidah Taabu, Kevin Chepkech, Christabel Ododa, Claire Kariuki, Fidelis Kyalo, Tony Mboyo, Michael Mutai, Daniel Otieno, Elijah Njenga, Paul Mutuku, Victor Otieno, Jack Kibedi",Gail Gay,Fluent
51,59,"THE XYZ SHOW presents THE BEST OF TINGA, VOLUME 1","From Kenya’s hugely popular Political Satire - THE XYZ SHOW, comes a brilliant Collection of the most hilarious Scenes from Seasons 12 & 13 (2017 - 2019), involving Kenya’s one & only latex puppet former Prime Minister: TINGA, on his journey to Canaan.","[""Comedy"",""Madaraka Day Weekend Movie Marathon Offer"",""Political"",""Satire""]","Buni Media, The XYZ Show, Godfrey Mwampembwa, Patrick Kuria, King ""Mushking VFX"", Abdi Shuria, Brian Kyalo Msafiri, Isaiah Evans, Ian Kamau, Ahmed Deen, Luqman Mwinyi, Arnold Odhiambo, Kevin Mbasu, Edward Khaemba, Paul Mbuvi, Nick Odhiambo, Louisa Sialo, Bonnie Musambi, Peter Mukabi, Romward Ndar, Collins Koyo, Geoffrey Omondi, Jeff Nyatuga, Martin Githinji, Antony Mboyo, Axon Wafula, Angela Mwihaki, Makena Magana, Caroline Milka, Chris Kamau, Juliet Ekpara, Humphrey Ngoni, Loi Awat, Paul Mutuku, Hezbon Mugambi, Joseph Obel, Julian Macharia, Sodi Kurubo, Neema Bagamuhunda, Ross Franks, Edwin Machuka, Ted Tululah, Ayaz Rajput, Jethron Omusemi, Simon Mwai, Raymond Ndikwe, Iggy Oduor, Keith Kihiu, Zelly Kanyi, Acadius Akungwi, Lorraine Lantei, Patrick Muia, Dancun Kimani, Benjamin ""Benali"" Okoth, Steve ""I Cruzz"" Irina, Roselidah Taabu, Kevin Chepkech, Christabel Ododa, Claire Kariuki, Fidelis Kyalo, Tony Mboyo, Michael Mutai, Daniel Otieno, Elijah Njenga, Paul Mutuku, Victor Otieno, Jack Kibedi",Stanley Johnson,Jingle Bells
52,60,TAIFA TUKUFU,"On the Eve of the botched 1982 Kenyan Coup d'état, Njenga Kīrīka - a Teller at Kenya Commercial Bank, is Kidnapped and Tortured in what seems to be a Case of Mistaken Identity. Or is it?","[""Action"",""Crime"",""Drama"",""History"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Political"",""Short & Sweet"",""Suspense"",""Thriller""]","Mau Mau Arts, Robert Mũnũku, Ibrahim Muchemi, Naomi Mburuh, George Mo, Collins Mutunga, Wanjirũ Kimani",Pamela Allen,XYZ Nation
53,61,MŨCIĪ,"Wanjirũ Mũrīmi (Pauline Mbugua), an 18 year-old disobedient & obnoxious spoiled Brat, is mysteriously Transformed into an Old Woman by a Witch, who also Infects her with Corona Virus; only Promising to Turn her Back, if she Changes her Ways. ","[""Drama"",""Family"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet"",""Supernatural""]","Mau Mau Arts, Robert Mũnũku, Frank Kimani, Lydiah Gitachu, Natasha Nyawira, Haji Nzibo, Dinah Githinji, Evalyne Wanja, Wanjiru Kimani, Pauline Mbugua",Deborah Garrett,Tribe Studios
54,62,LUCY,"A sick Wife - Lucy (Vera Vida), Cuts short her Husband's (Juma Mourice) Cheating spree.","[""Crime"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet"",""Suspense"",""Thriller""]","Ustadi Films, Vera Vida, Juma Mourice, Asina Juma, Wilson Osiolo, Charles Richard, Kelvin Muraya, Adrian Opiyo, Victor Ayima, Esther Njuguna, Judy Charity, Faith Wanjiru, Lucy Wanjiku, Brian Bitange",Erika Blankenship,Funny Entertainment
55,63,BROKEN NEWS,"Mr. Atemi (Adrian Opiyo) - a Journalist, tries to Work From Home, as his Way of Curbing the Spread of COVID-19, but the whole Experience goes Awry.","[""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet""]","Ustadi Films, Adrian Opiyo, Rosemary Nyambura, Juma Mourice, Dorothy Kendi, Tracy Marindany, Wilson Osiolo, Odipo Riaga, Ngumi Wangombe, Tamasha Band",Ryan Shelton,Boiiii
56,64,MEED,"An Employee (Victor Ayima) is Pranked, in an unexpected Promotional move, by his Boss (Dullo Ogege). Or is he?","[""Action"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet"",""Suspense"",""Thriller""]","Ustadi Films, Victor Ayima, Dullo Ogege, Tesla Doreen, Wilson Osiolo, Odipo Riaga, Omori Moabe",Ryan Murphy,Funny Entertainment
57,65,THE LEGEND OF LWANDA MAGERE,"Long ago, on the Shores of the great Lake of Africa, there once Lived a Superhuman Warrior, by the Name of LWANDA MAGERE. 

He had Skin of Stone and the Strength of Ten men. Invincible, Benevolent and Loyal, LWANDA was the Hero that his People had always Longed for, to Protect them from the Deadly neighbouring Raiders. 

However, the secret Source of LWANDA’s Powers was the Target of his Enemies, from the Outside and Within.

Released by APES IN SPACE, this Movie has already won Awards, like Best International Short at LOS ANGELES ANIMATION FESTIVAL 2020 and Best Animation at KALASHA 2020.","[""Action"",""Adventure"",""Animation"",""Christmas Under Curfew"",""Family"",""Family Screen Time"",""Fantasy"",""Father\u2019s Day Offer"",""GET 20% OFF THIS EID-AL-ADHA"",""History"",""Internationally Acclaimed"",""Kalasha Award Winners"",""Local Language"",""Madaraka Day Weekend Movie Marathon Offer"",""New Year's Weekend"",""Supernatural"",""True Story""]","Apes In Space, Kwame Nyong’o, Naddya Adhiambo Oluoch-Olunya, Wanzilu Maingi, Kuria Owiti, Tom Manda , Ian Fanuel, Sen Kanyare, Steve Ogana, Justus Macharia, Eric Musyoka, Decimal Studios, Nina Ogot, Junior Nyong’o, Aghan Odero, Joseph Telo, Iddi Achieng', Mercy Kilel",Ryan Murphy,The Truth
58,66,WHY U HATE,"After years of patiently Working in the City and Saving money, so that he could one day go Back to his rural Home; Kwami (Bernard Irungu) one day Makes for Upcountry with Nothing except a Bounty on his Head, and a Trail of Murder behind him. Does it include his Love Interest – Jasmina (Ellah Maina)?","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Crime"",""Drama"",""Huduma Day Offer!"",""Internationally Acclaimed"",""Local Language""]","Bernard Irungu, Ellah Maina, Mwamburi Maole, Kuni Mbichi, Gillan Omundi, Faith Kibathi, Maxwell Nyange, Wanju Kase, Jante Juma, Robert Ng’ethe, Dreamhouse Entertainment, Royal Pictures, Latent Talent, Shammer Agila, Arthur Owade, Royal Katumo",Pamela Allen,Pulse Comics
59,67,SOFTIE,"Boniface “Softie” Mwangi has long Fought injustices in his Country, as a Political Activist. Now he’s Taking the next Step, by Running for Office in the 2017 Kenyan Elections. From the moment Boniface decides to Vie - telling his wife (Njeri) in Passing with a hesitant Laugh; he Responds to each Challenge with Optimism. But running a clean Campaign against Corrupt opponents becomes increasingly Harder to Combat with Idealism alone. And Boniface soon Finds that, Challenging strong political Dynasties, is putting his Family at Risk. Should his Country really come before Family, as he’s always Believed?","[""Test""]","Boniface Mwangi, Njeri Mwangi, Toni Kamau, Sam Soko, LBx Africa",Jennifer Roberts,Funny Entertainment
60,68,DEADLY WAHALA,"In what Seems to be a Case of Mistaken Identity, a city Tycoon (Mr. X) sends his Bodyguard to Recover a stolen Item from his Mistress, who Denies knowing its Whereabouts, which Leads to an Escalation. What happens when Sponsorship goes Wrong?","[""Action"",""Crime"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""New Year's Weekend"",""Satire"",""Short & Sweet"",""Suspense"",""Thriller""]","Maina Olwenya, Esther Masaa Ruth, Rose Chomba, Robert Mũnũku",Keith Lawson,Capital Two
61,69,IMAGINATION,"An 8 year-old Boy wants to Direct a Movie in the Community backyard with his best Friends. However, his Mother keeps Dragging him Away from Set and his Dream. But, Ken is Determined!","[""Comedy"",""Drama"",""Family"",""Family Screen Time"",""GET 20% OFF THIS EID-AL-ADHA"",""New Releases"",""New Year's Weekend"",""Short & Sweet""]","Kennedy Shani, Tita Banda, Steven Chilufya, Brenda Banda, Peter Mpompo, Pepulani Phiri, Patrick Linda, Tyson Phiri, Abraham Nkhosi, Kennedy Kwenda",Melinda Long,Boiiii
62,70,KIU,"Rain has not Fallen for 5 Years, and as a result, Water is now the most Sought-after Commodity. Just like Everyone else outside the fortified Cities, Momo has been Finding it Hard to Acquire water. Her journey to a Trading Post takes an unexpected Turn, when she Encounters a young, orphaned Girl. She appears to Be the lone Survivor of a recent Accident. Conflicted, Momo must Decide whether to Take her Along on her Quest, or to Keep to her Loner ways.","[""Drama"",""Dystopian"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""New Year's Weekend"",""Short & Sweet"",""Thriller""]","Blink Productions, Njiiri Karago, Joe Mahinda, Sharon Mindot, Zawadi Kayyoh, Kendi Kinyua, Antony Ashioya, Mukami Njiru, David Nganga",Mrs. Brenda Montgomery MD,Pulse Comics
63,71,Test,TEST CONTENT.  PLEASE DO NOT RENT OR OWN!,"[""Test""]",,Katie Rose,Okay Pictures
64,72,6:59,"Shirley (Charity Nyokabi), a college Student born & raised in Nairobi, is Consumed by the Stories of Police Brutality happening in America; when Suddenly she finds herself Dealing with the Same issue in the Country that she calls Home.","[""Activism"",""Crime"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet""]","Charity Nyokabi, Beverline Isabok, Kefa Simiyu, Canary Okiria, Candy Oguta, Vinstinct Films, Vincent Otieno, Aketchi Koffi, Bruno Basil, Cassius Festo",Pamela Allen,Boiiii
65,73,THE PHONE CALL,"Film Director - Karl (Calvin Odhiambo) whirls in a Dream about a deadly Pandemic, that Confronts all his Fears and Beliefs, as an emotional Battle with his Conscience; only to Wake up to a Reality where Life has to Move on amidst COVID-19.

","[""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet""]","Annette Amondi, Calvin Odhiambo, Herman Ndeche, Ruth Kerubo",Russell Simmons,Allies Brothers
66,74,THE 600: THE SOLDIERS' STORY,"Surrounded in Kigali by over 10,000 Soldiers of the Hutu Power Government, 600 Tutsi consider their Fate, as the large-scale Massacre of their Families and Friends ensues.

This is the little-known courageous Story of how the pinned-down 3rd Battalion of the Rwandan Patriotic Army (RPA), were able to Start the Counterattack to End the Genocide against the Tutsi in 1994.","[""Action"",""Drama"",""Father\u2019s Day Offer"",""History"",""KWIBOHORA 27% DISCOUNT"",""New Releases"",""True Story"",""Viewers Request""]","Raymond Karago, Adam Manzi, Omar Moukhtar Sibomana, Jean de Dieu Ngirabaganwa, Robert Ndungutse, Luana Antonio, Jean Kwezi, Eugene Safali, Annah Aurore Mutayisire, Olivier Shyaka, Djazila Umugwaneza, Ntakirutimana Brahim, Yvette Umutoniwase, Gaspard Nteziryayo, Muniru Habiyakare, Jules Niyitegeka, Lathifa Bantegeye, Sadi Twambajimana, Donat Habimana, Alexandre Sibomana, Eric Ntotanyi Tuyishime, Emile Manzi
",Mrs. Brenda Montgomery MD,Pulse Comics
67,75,BLURRED,"28 year-old Kare (Brenda Wairimu) is an organised, optimistic & hardworking Lady, also taking Care of her ill Brother (Keith Maina), while Living with their alcoholic & unreliable Father (Grahame Kimani).  But one day, Life just gets too Much…","[""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet"",""Thriller""]","Brenda Wairimu, Keith Maina, Grahame Kimani, Brian Obra, Safina Iqbal, April Wambui Gathee, Karen Rollier, Chacha Grace, Ashley Mwok, Marybeth Onyango, Ashton Juma, ",Erika Blankenship,The Truth
68,76,"LOVE, ZAWADI","LOVE, ZAWADI tells the Story of how the enforced COVID-19 Lockdown in some Countries, puts vulnerable Women and young Girls in Life-threatening Situations, where Outside is Safer than Home.","[""Crime"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet""]","Tracy Amadi, Grahame Kimani, Karen Rollier, April Wambui Gathee, Brian Obra, Lynne Aswani, Ashton Juma",Pamela Allen,The Truth
69,77,BENTA,"Benta (Janet Kirina) is Forced to take Care of her Siblings (Melvin Alusa & Mike Rewa), at an Early age, after the untimely Death of their Parents. 

Orphaned, their Life becomes Unbearable, and they End up in the Slums.

As means of Providing to her Siblings, three Options present themselves: to Look for a Husband, become a Prostitute or get a Job that has some Decency to it. 

This is how she Ends up at the Upper-Middleclass home of the Fulani’s (Cajetan Boy & Salome Kinyanjui), as a Maid to them and their Teenagers (Dan Mwangi & Nice Githinji). ","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Drama"",""Kalasha Award Winners"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases""]","Janet Kirina, Melvin Alusa, Mike Rewa, Salome Kinyanjui, Cajetan Boy, Dan Mwangi, Nice Githinji, Mary Migui, Chis Rohio, Wanjugu Rohio, Richard Ngugi",Aaron Peterson DDS,Emotional Damage!
70,78,MELTING THE HEART,"Anita (Esther Akinyi) is a lonely School Teacher, because no Man seems to Look at her.

She confides in her Friend - Jennifer (Margaret Wairimu), who offers to Teach her How to Melt the Heart of any Man.

Jennifer advises Anita to then Test her Advice on Musa (Charles Richard) – the new Gardner of her Parents (Juma Mourice and Pamela Kenda), before Searching for a ‘’worthy” Man.

Anita succeeds in Melting the Heart of Musa, who falls Deeply in Love with her - to the Concern of her Parents.

But when Anita’s original Plan is Uncovered, he is Furious and Heartbroken.

So, will Anita ever Find her True Love?","[""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Romance""]","Esther Akinyi, Charles Richard, Margaret Wairimu, Pamela Kenda, Adrian Opiyo, Juma Mourice, Everlyne Oteki, Obwansu Entertainment",Mrs. Brenda Montgomery MD,Boiiii
71,79,AMAZING GRACE,"Grace (Melissa Nyaboke) wants to get Married to her Fiancée - Francis (Martin Okwalo) in a private Wedding, officiated by a local Priest (Douglas Masinde), before she Delivers. 

Things take a Turn when her Ex-husband - Peter (Emmanuel Laboso) - a recovering Addict, who Beat her up during her Pregnancy five years prior, causing her to Miscarry, shows-up at the Venue to Get her Back.  He had Disappeared and was declared legally Dead.

So, what Decision will Grace make for Herself and for her unborn Baby?","[""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Romance"",""Short & Sweet"",""Thriller""]","Melissa Nyaboke, Martin Okwalo, Emmanuel Laboso, Douglas Masinde, Cajetan Boy, Chap Chap Shooters Productions , Jackline Emali, Malerk Shikanda, Emmanuel Kiseu, Benson Kamau, Domiano Gomba, Horranace Opondo",Angela Jimenez,Allies Brothers
72,80,Band Band,,null,,Stanley Johnson,Capital Two
73,81,CONSEQUENCES,"Dr. Janet (Nice Githinji) seeks her own Justice after a Road Accident with Jemo (Charles Kiarie) - a Drunk Driver, causes the Loss of her unborn Child.  In her Quest, she Learns how making selfishly-motivated and fatal Decisions bears Consequences that come back to her as Karma.
","[""Action"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Short & Sweet"",""Thriller""]","Nice Githinji, Charles Kiarie, Ashford Kirima, Peter Kabi, Florence Onyango, Cajetan Boy, Caroline Odongo, Et Cetera Productions, Nicebird Productions,",Ryan Shelton,Arrowhead
74,82,Cozen,,null,,Brian Jackson,XYZ Nation
75,83,Faith,,null,,David Lopez,Emotional Damage!
76,84,Light Sleeper,,null,,Kara Alexander,Funny Entertainment
77,85,On Your Marks,,null,,Stanley Johnson,Emotional Damage!
78,86,MO & ME,"The turmoil of Africa’s emergence into the 20th Century, has long been the Focus of the critical Eye of the Western World.  From the Exploration to the Exploitation, from Fear & Famine to Fame & Fortune and from War-torn Horror to Wildlife Wonder - it has all been Exposed to the relentless Gaze of the international Press.

And no-one has caught its Pain and Passion more incisively than Mohamed Amin (Mo) - Photographer and frontline Cameraman extraordinaire.  He was the most famous Photojournalist in the World, making the News as often as he Covered it.

Mo trained his unwavering Lense on every aspect of African life, never shying from the Tragedy and never failing to Revel in the Success.  Through the piercing Gaze of his Camera lense, Mo showed the World what Some were Afraid to See and what Most people Wished they could Ignore.

This 96-minute Documentary immortalises the inspirational Legend that was Mohamed Amin - a Kenyan who became the World’s most famous Photojournalist.  And in it, his Son - Salim Amin, spends 10 years Retracing the Steps of a Father he Never really Knew.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Action"",""Adventure"",""History"",""Huduma Day Offer!"",""New Releases"",""True Story""]","Mohamed Amin, Salim Amin, Roger Mills, Murad Rayani, Leul Abate, Dolly Amin, Farzana Amin, Harry Belafonte, Colin Blane, Wolfango Dourado, 	Patrick Muiruri, Ardash Nayar, Michael Odenyo, 	Duncan Willetts, Mike Wooldridge, Camerapix, Al Jazeera International ",Deborah Garrett,The Truth
79,87,THE SOUND MAN,"An inspiring True Story about Journalism, Sound and one man’s Passion for Recording, to Tell the Story at all Costs.  Kenyan location Sound Engineer - Abdul Ramadhan, has spent over 35 years Risking his Life to Document the invisible, but powerful, Sounds of human Tragedies all over Africa; including the Sounds of Genocide, Famine and Wars.  He has Heard too much Noise and Lost too many Colleagues; but Despite the Atrocities he Witnessed, he still likes “doing” Sound, he says, because, “you have to Use your Brain and you are always Quiet”.  You can Expect this Documentary to have a profound Effect on you.  Be ready to get Hushed by this Striking human Story!","[""Adventure"",""History"",""Internationally Acclaimed"",""New Releases"",""True Story""]","Abdul Ramadhan, Salim Amin, Patrick Muiruri, Chip Duncan, Chris Spheeris, Ayubu Ogada, Randy Bobo, Moses Muiruri, Duncan Group, Camerapix Production, A24 Media",Russell Simmons,Okay Pictures
80,88,MADAM RAIS,"Binta Malala (Marrianne Nungo), the Deputy Speaker of the National Assembly of Kenya, suddenly finds herself Succeeding the President – who has been Incapacitated for 48-hours, when the Deputy President (Raymond Ofula) and Speaker are Trapped in Cairo.

A constitutional Crisis presents itself over Who will be the next President.  Will she Accept this heavy Responsibility?  And is Kenya ready for its first female Head of State?","[""Action"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""New Releases"",""Political"",""Short & Sweet""]","Marrianne Nungo, Eddy Mbugua, Rahman Nawiri, Charles Kiarie, Arabron Nnyneque, Pete Openda, Raymond Ofula, Kennedy Musumba, Geoffrey Githai, Josephine Katile, Maria Adhiambo, Winnie Macharia, Abel Mutua, Wangari Njoroge, Marvin Ochieng, Kevin Lonogwa, Thurston Awange, Herbert Calvins, Evans Muthini, Leslie Khadondi, Kweya Gerry, Chasea Wakini, Damaris Irungu, Gilbert Lukalia, Ngechu Muriithi",Keith Lawson,XYZ Nation
81,89,REKINDLE,"Jane (Linet Mutiembu) is a loving mother and wife who becomes jobless during the Pandemic.  So, her husband - Jeff (Vijay George), a struggling Salesman, becomes the only source of income at home, which makes him stressed and short-tempered.  In time, Jane becomes a victim of domestic violence, constantly at the mercy of Jeff's mood swings.  She becomes a broken woman – physically, emotionally and mentally.  Desperate to stop the pain, she decides on Murder-suicide.  Will she go through with it?","[""Crime"",""Drama"",""New Releases"",""New!"",""Romance"",""Thriller""]","Linet Mutiembu, Vijay George, Gideon Towell, Nancy Odemba, Nancy Moraa, Mc Japeto, Reagan Otieno, Msanii Bena, Rahim Ojenge, Daisy Akal, Ologo Ouno, Lloyd Odero, Mwana D",Erika Blankenship,Allies Brothers
82,90,RADHE: Your Most Wanted Bhai,"RADHE – Your Most Wanted Bhai, is an adrenaline-pumping Action Blockbuster.  The story revolves around the rampant usage of Drugs in our Society and how the Youth are getting Destroyed.  The protagonist: RADHE, is a smart and tough Cop, with a kind heart and witty personality.  He usually likes to do things his way, to get Justice restored in Society.  How far RADHE goes to bring Justice, clean the streets from drugs to Save the Youth and to restore Peace in Society, forms the crux of the Story.","[""30% Diwali Discounts"",""Action"",""Bollywood"",""Drama"",""Musical"",""New Releases"",""Romance""]","Salman Khan, Sohail Khan, Reel Life Production PVT LTD, Ayananka Bose, A.C Mugil and Vijay Maurya, Shamiraah Nambiar, Sajid Wajid, Devi Sri Prasad, Himesh Reshammiya, Ritesh Soni, Myednghaeng Hed, Anbariv, Durga Prasad Mahapatra, Ashely Rebello, Alvira Khan Agnihothri, Harish Amin, Parikshit Lalvani, Kunal Metha, Sanchit Balhara, Disha Patani, Randeep Hooda, Jackie Shroff, ",Melinda Long,Okay Pictures
83,91,UNLOVE ME,"Based on a True Story, UNLOVE ME is about Mike (Daniel Lloyd) - a young, unorthodox Police Officer, who finds himself in an impossible Situation with Pamela (Bayray Mcnwizu), who is out for Revenge after Mike allegedly Killed her innocent Father (Jibola Dabo).  Will Pamela restore her Father's honour?  Will she get her Vengeance?","[""Crime"",""Drama"",""New Releases"",""New!"",""Romance"",""Thriller"",""True Story""]","Daniel Lloyd, Bayray Mcnwizu, Jibola Dabo, Ani Princess, Emeka Nwigwe, Martinz Nnaji Jr., Stessi King, Magicmix Network, Emmanuel Manulu
",Christine Johnson,Allies Brothers
84,92,QUEEN OF THE SUN,"An aspiring Hunter - D.C. (Guido Gerhadt), from the rustic lanes of Lucknow, finds himself in an arranged Marriage with an African Princess (Mercy Johnson Okojie), as Decreed by the King (Nwachie Odika Azokwu).  However, the Princess is in Love with Ogbuagu (Oni Michael).  What will she Do?  Will her Love or his Authority prevail?
","[""26% Off in our Birthday Month"",""Comedy"",""Drama"",""Dramedy"",""Romance""]","Nnaemeka Austin, Manulu Emmanuel Onuigbo, Guido Gerhadt, Mercy Johnson Okojie, Nwachie Odika Azokwu, Oni Michael, Ngozi Onyema Evuka, Kings Paul, Ken Steve Anuka

",Michael Meza,Pulse Comics
85,93,THE OUTCAST,"Nnamdi (Ken Erics Ugo) - a young Prince, finds himself in Caught between Choosing his Father - King Ifeatu (Livinus Nnochiri) or his Fiancee - Ujunaw (ChaCha Eke Faani), who has been Decreed an Outcast.  Determined to Protect his Lover against all Odds, the Prince abandons his Home, his Family and the Throne, after his Father disowns him.  Will he ever Reclaim his Birthright? 
 What are the Consequences of choosing Love over Family?","[""Drama"",""Dramedy"",""New Releases"",""New!"",""Romance""]","Goodnews Erico Isika, Manulu Emmanuel Onuigbo, Ken Erics Ugo, ChaCha Eke Faani, Doris Ugo, Livinus Nnochiri, Lizzygold Onowaje, Eze Valentine, Magicmix Network


",Samantha Norris,Funny Entertainment
86,94,INNOCENT OATH,,null,,Russell Simmons,Emotional Damage!
87,95,THE STRAIGHT PATH,"Reality is often Disappointing, so some People just Fake it til they Make it.  Such is the Story of this Couple - Dennis (Melvin Ooduah), who Pretends to Work in a Bank; and Oby (Ruth Kadiri), who Claims to have a personal Relationship with Celebrities.  They successfully Fool their close Circles, and Gain the Admiration they so badly Desire.  But unfortunately, their High Life comes to an abrupt End when they are Exposed.  What happens Next is a Dramedy of Life Lessons.","[""Comedy"",""Drama"",""Dramedy"",""New Releases"",""New!"",""Romance""]","Ubong Bassey, Emmanuel Manulu, Felicia Freda, Ruth Kadiri, Melvin Oduah, Stephen Damian, Pat Attang, Chuwang Pam Kelvin, Eyo Eminue, Magicmix Network
",David Love,Pulse Comics
88,96,SHANDA,"The exuberant, life-affirming music of Oliver “Tuku” Mtukudzi flows through this fascinating documentary portrait of a man, his times and his music.  Tuku’s music talks to audiences everywhere, in Africa and beyond.  Through the film, his personal choice of 10 favourite songs takes us on a musical journey spanning four decades.

At its’ heart is one man’s intimate relationship with his beloved homeland, Zimbabwe.  From the days of the liberation struggle, war and unemployment, through the sunburst of independence, and along the often-bumpy road since, Tuku renders the joy, anger and heartache of the human experience with legendary wisdom and compassion.  The musical anthology reveals Tuku’s rich voice and beautiful compositions, like never before, from the early days of his first band, The Wagon Wheels, to his internationally acclaimed Black Spirits.

Filmmakers John and Louise Riber capture the story and spirit of this incredible musician, live in township clubs and beer halls across Zimbabwe, among his endearing fans.
","[""Music"",""New Releases"",""New!"",""True Story""]","John Riber, Oliver Mtukudzi, Louise Riber, Cross Culture Production, the Zimbabwe Music Corporation",Michael Meza,Good Guys
